Column1,Column2
"If checked, Total no. of Working Days will include holidays, and this will reduce the value of Salary Per Day","Nếu chọn, tổng số ngày làm việc sẽ bao gồm ngày lễ và làm giảm giá trị lương theo ngày"
"If checked, hides and disables Rounded Total field in Salary Slips","Nếu chọn, ẩn và vô hiệu hóa trường Tổng làm tròn trong Phiếu lương"
The fraction of daily wages to be paid for half-day attendance,Tỷ lệ lương ngày được trả cho chấm công nửa ngày
Email Salary Slip to Employee,Gửi Phiếu lương qua email cho nhân viên
Emails salary slip to employee based on preferred email selected in Employee,Gửi Phiếu lương cho nhân viên theo email ưu tiên đã chọn trong hồ sơ nhân viên
Encrypt Salary Slips in Emails,Mã hóa Phiếu lương trong email
"The salary slip emailed to the employee will be password protected, the password will be generated based on the password policy.","Phiếu lương gửi qua email sẽ được bảo vệ bằng mật khẩu, mật khẩu được tạo theo chính sách mật khẩu"
Password Policy,Chính sách mật khẩu
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,Ví dụ: SAL-{first_name}-{date_of_birth.year} sẽ tạo mật khẩu như SAL-Jane-1972
Leave Approval Notification Template,Mẫu thông báo phê duyệt nghỉ phép
Leave Status Notification Template,Mẫu thông báo trạng thái nghỉ phép
Role Allowed to Create Backdated Leave Application,Vai trò được phép tạo đơn nghỉ phép lùi ngày
Leave Approver Mandatory In Leave Application,Bắt buộc người phê duyệt trong đơn nghỉ phép
Show Leaves Of All Department Members In Calendar,Hiển thị ngày nghỉ của tất cả thành viên các phòng ban trong lịch
Auto Leave Encashment,Tự động quy đổi nghỉ phép
Hiring Settings,Cài đặt tuyển dụng
Check Vacancies On Job Offer Creation,Kiểm tra vị trí trống khi tạo thư mời nhận việc
Identification Document Type,Loại giấy tờ định danh
Effective from,Hiệu lực từ
Allow Tax Exemption,Cho phép miễn giảm thuế
"If enabled, Tax Exemption Declaration will be considered for income tax calculation.","Nếu bật, khai báo miễn giảm thuế sẽ được dùng để tính thuế thu nhập"
Standard Tax Exemption Amount,Mức miễn giảm thuế tiêu chuẩn
Taxable Salary Slabs,Bậc lương chịu thuế
Taxes and Charges on Income Tax,Thuế và phí thuế thu nhập
Other Taxes and Charges,Các loại thuế và phí khác
Income Tax Slab Other Charges,Phụ phí bậc thuế thu nhập
Min Taxable Income,Thu nhập chịu thuế tối thiểu
Max Taxable Income,Thu nhập chịu thuế tối đa
Applicant for a Job,Ứng viên xin việc
Job Opening,Vị trí tuyển dụng
Cover Letter,Thư ứng tuyển
Resume Attachment,Tệp đính kèm CV
Job Applicant Source,Nguồn ứng viên
Applicant Email Address,Email ứng viên
Awaiting Response,Đang chờ phản hồi
Job Offer Terms,Điều khoản thư mời nhận việc
Select Terms and Conditions,Chọn điều khoản và điều kiện
Job Offer Term,Điều khoản thư mời
Offer Term,Điều khoản đề nghị
Value / Description,Giá trị / Mô tả
Description of a Job Opening,Mô tả vị trí tuyển dụng
Staffing Plan,Kế hoạch nhân sự
Planned number of Positions,Số lượng vị trí dự kiến
"Job profile, qualifications required etc.","Hồ sơ công việc, yêu cầu trình độ, v.v."
HR-LAL-.YYYY.-,HR-LAL-.YYYY.-
New Leaves Allocated,Ngày nghỉ mới được phân bổ
Add unused leaves from previous allocations,Thêm ngày nghỉ chưa sử dụng từ các lần phân bổ trước
Unused leaves,Ngày nghỉ chưa sử dụng
Total Leaves Allocated,Tổng số ngày nghỉ được phân bổ
Total Leaves Encashed,Tổng số ngày nghỉ đã quy đổi
Leave Period,Kỳ nghỉ phép
Carry Forwarded Leaves,Ngày nghỉ được chuyển tiếp
Apply / Approve Leaves,Đăng ký / Phê duyệt nghỉ phép
HR-LAP-.YYYY.-,HR-LAP-.YYYY.-
Leave Balance Before Application,Số dư ngày nghỉ trước khi đăng ký
Total Leave Days,Tổng số ngày nghỉ
Leave Approver Name,Tên người phê duyệt nghỉ phép
Follow via Email,Theo dõi qua email
Block Holidays on important days.,Chặn ngày lễ vào các ngày quan trọng
Leave Block List Name,Tên danh sách chặn nghỉ phép
Applies to Company,Áp dụng cho công ty
"If not checked, the list will have to be added to each Department where it has to be applied.","Nếu không chọn, danh sách phải được thêm vào từng phòng ban nơi áp dụng"
Block Days,Ngày bị chặn
Stop users from making Leave Applications on following days.,Ngăn người dùng tạo đơn nghỉ phép vào các ngày sau
Leave Block List Dates,Ngày trong danh sách chặn nghỉ phép
Allow Users,Cho phép người dùng
Allow the following users to approve Leave Applications for block days.,Cho phép các người dùng sau phê duyệt đơn nghỉ phép cho ngày bị chặn
Leave Block List Allowed,Danh sách chặn nghỉ phép được phép
Leave Block List Allow,Cho phép danh sách chặn nghỉ phép
Allow User,Cho phép người dùng
Leave Block List Date,Ngày chặn nghỉ phép
Block Date,Ngày bị chặn
Leave Control Panel,Bảng điều khiển nghỉ phép
Employment Type (optional),Loại hình lao động (tùy chọn)
Branch (optional),Chi nhánh (tùy chọn)
Department (optional),Phòng ban (tùy chọn)
Designation (optional),Chức danh (tùy chọn)
Employee Grade (optional),Cấp bậc nhân viên (tùy chọn)
Employee (optional),Nhân viên (tùy chọn)
Allocate Leaves,Phân bổ ngày nghỉ
Carry Forward,Chuyển tiếp
Please select Carry Forward if you also want to include previous fiscal year's balance leaves to this fiscal year,Vui lòng chọn Chuyển tiếp nếu bạn muốn bao gồm số dư ngày nghỉ của năm tài chính trước sang năm nay
New Leaves Allocated (In Days),Ngày nghỉ mới được phân bổ (theo ngày)
Leave Balance,Số dư ngày nghỉ
Encashable days,Số ngày có thể quy đổi
Encashment Amount,Số tiền quy đổi
Leave Ledger Entry,Bút toán sổ cái nghỉ phép
Transaction Name,Tên giao dịch
Is Carry Forward,Là chuyển tiếp
Is Expired,Đã hết hạn
Is Leave Without Pay,Là nghỉ không lương
Holiday List for Optional Leave,Danh sách ngày lễ cho nghỉ phép tùy chọn
Leave Allocations,Phân bổ nghỉ phép
Leave Policy Details,Chi tiết chính sách nghỉ phép
Leave Policy Detail,Chi tiết chính sách nghỉ phép
Annual Allocation,Phân bổ hằng năm
Leave Type Name,Tên loại nghỉ phép
Applicable After (Working Days),Áp dụng sau (số ngày làm việc)
Is Optional Leave,Là nghỉ phép tùy chọn
Allow Negative Balance,Cho phép số dư âm
Include holidays within leaves as leaves,Bao gồm ngày lễ trong ngày nghỉ
Is Compensatory,Là nghỉ bù
Maximum Carry Forwarded Leaves,Số ngày nghỉ chuyển tiếp tối đa
Expire Carry Forwarded Leaves (Days),Hết hạn ngày nghỉ chuyển tiếp (ngày)
Calculated in days,Tính theo ngày
Encashment,Quy đổi nghỉ phép
Allow Encashment,Cho phép quy đổi
Encashment Threshold Days,Ngưỡng ngày quy đổi
Earned Leave,Nghỉ phép hưởng lương
Is Earned Leave,Là nghỉ phép hưởng lương
Earned Leave Frequency,Tần suất nghỉ phép hưởng lương
Rounding,Làm tròn
Payroll Employee Detail,Chi tiết nhân viên bảng lương
Payroll Frequency,Tần suất bảng lương
Fortnightly,Nửa tháng
Bimonthly,Hai tháng một lần
Employees,Nhân viên
Number Of Employees,Số lượng nhân viên
Employee Details,Chi tiết nhân viên
Validate Attendance,Xác thực chấm công
Salary Slip Based on Timesheet,Phiếu lương dựa trên bảng chấm công
Deduct Tax For Unclaimed Employee Benefits,Khấu trừ thuế cho phúc lợi nhân viên chưa yêu cầu
Deduct Tax For Unsubmitted Tax Exemption Proof,Khấu trừ thuế cho minh chứng miễn giảm thuế chưa nộp
Select Payment Account to make Bank Entry,Chọn tài khoản thanh toán để tạo bút toán ngân hàng
Salary Slips Created,Đã tạo Phiếu lương
Salary Slips Submitted,Đã nộp Phiếu lương
Payroll Periods,Các kỳ bảng lương
Payroll Period Date,Ngày kỳ bảng lương
Purpose of Travel,Mục đích công tác
Retention Bonus,Thưởng giữ chân
Bonus Payment Date,Ngày chi trả thưởng
Bonus Amount,Số tiền thưởng
Depends on Payment Days,Phụ thuộc vào số ngày thanh toán
Is Tax Applicable,Áp dụng thuế
Variable Based On Taxable Salary,Biến dựa trên lương chịu thuế
Exempted from Income Tax,Được miễn thuế thu nhập
Round to the Nearest Integer,Làm tròn đến số nguyên gần nhất
Statistical Component,Thành phần thống kê
"If selected, the value specified or calculated in this component will not contribute to the earnings or deductions. However, it's value can be referenced by other components that can be added or deducted. ","Nếu chọn, giá trị được chỉ định hoặc tính trong thành phần này sẽ không được tính vào thu nhập hoặc khấu trừ, nhưng có thể được tham chiếu bởi các thành phần khác"
Do Not Include in Total,Không bao gồm trong tổng
Flexible Benefits,Phúc lợi linh hoạt
Is Flexible Benefit,Là phúc lợi linh hoạt
Max Benefit Amount (Yearly),Mức phúc lợi tối đa (hằng năm)
Only Tax Impact (Cannot Claim But Part of Taxable Income),Chỉ tác động thuế (không thể yêu cầu nhưng là một phần của thu nhập chịu thuế)
Create Separate Payment Entry Against Benefit Claim,Tạo bút toán thanh toán riêng cho yêu cầu phúc lợi
Amount based on formula,Số tiền dựa trên công thức
Formula,Công thức
Salary Detail,Chi tiết lương
Component,Thành phần
Default Amount,Số tiền mặc định
Additional Amount,Số tiền bổ sung
Tax on flexible benefit,Thuế trên phúc lợi linh hoạt
Tax on additional salary,Thuế trên lương bổ sung
Salary Structure,Cấu trúc lương
Working Days,Ngày làm việc
Salary Slip Timesheet,Phiếu lương theo bảng chấm công
Earnings,Thu nhập
Deductions,Khấu trừ
Total in words,Tổng bằng chữ
Salary Component for timesheet based payroll.,Thành phần lương cho bảng lương dựa trên chấm công
Leave Encashment Amount Per Day,Số tiền quy đổi nghỉ phép theo ngày
Max Benefits (Amount),Mức phúc lợi tối đa (số tiền)
Salary breakup based on Earning and Deduction.,Cơ cấu lương dựa trên thu nhập và khấu trừ
Total Earning,Tổng thu nhập
Salary Structure Assignment,Phân công cấu trúc lương
Shift Assignment,Phân công ca làm việc
Shift Type,Loại ca
Shift Request,Yêu cầu ca làm việc
Enable Auto Attendance,Bật chấm công tự động
Mark attendance based on 'Employee Checkin' for Employees assigned to this shift.,Đánh dấu chấm công dựa trên “Checkin Nhân viên” cho các nhân viên được gán ca này
Auto Attendance Settings,Cài đặt chấm công tự động
Determine Check-in and Check-out,Xác định check-in và check-out
Alternating entries as IN and OUT during the same shift,Luân phiên các bản ghi IN và OUT trong cùng một ca
Strictly based on Log Type in Employee Checkin,Dựa nghiêm ngặt vào Loại nhật ký trong Checkin Nhân viên
Working Hours Calculation Based On,Cách tính giờ làm việc dựa trên
First Check-in and Last Check-out,Check-in đầu tiên và check-out cuối cùng
Every Valid Check-in and Check-out,Mọi check-in và check-out hợp lệ
Begin check-in before shift start time (in minutes),Cho phép check-in trước giờ bắt đầu ca (phút)
The time before the shift start time during which Employee Check-in is considered for attendance.,Khoảng thời gian trước khi ca bắt đầu mà check-in được tính chấm công
Allow check-out after shift end time (in minutes),Cho phép check-out sau khi ca kết thúc (phút)
Time after the end of shift during which check-out is considered for attendance.,Khoảng thời gian sau khi ca kết thúc mà check-out được tính chấm công
Working Hours Threshold for Half Day,Ngưỡng giờ làm việc cho nửa ngày
Working hours below which Half Day is marked. (Zero to disable),Số giờ làm việc thấp hơn ngưỡng này sẽ tính là nửa ngày (0 để tắt)
Working Hours Threshold for Absent,Ngưỡng giờ làm việc cho vắng mặt
Working hours below which Absent is marked. (Zero to disable),Số giờ làm việc thấp hơn ngưỡng này sẽ tính là vắng mặt (0 để tắt)
Process Attendance After,Xử lý chấm công sau
Attendance will be marked automatically only after this date.,Chấm công sẽ chỉ được đánh dấu tự động sau ngày này
Last Sync of Checkin,Lần đồng bộ chấm công gần nhất
Last Known Successful Sync of Employee Checkin. Reset this only if you are sure that all Logs are synced from all the locations. Please don't modify this if you are unsure.,Lần đồng bộ chấm công nhân viên thành công gần nhất. Chỉ đặt lại khi bạn chắc chắn rằng tất cả nhật ký đã được đồng bộ từ mọi địa điểm. Vui lòng không chỉnh sửa nếu bạn không chắc chắn.
Grace Period Settings For Auto Attendance,Cài đặt thời gian ân hạn cho chấm công tự động
Enable Entry Grace Period,Bật thời gian ân hạn vào ca
Late Entry Grace Period,Thời gian ân hạn vào muộn
The time after the shift start time when check-in is considered as late (in minutes).,Khoảng thời gian sau giờ bắt đầu ca mà check-in được xem là vào muộn (tính bằng phút).
Enable Exit Grace Period,Bật thời gian ân hạn ra ca
Early Exit Grace Period,Thời gian ân hạn ra sớm
The time before the shift end time when check-out is considered as early (in minutes).,Khoảng thời gian trước giờ kết thúc ca mà check-out được xem là ra sớm (tính bằng phút).
Skill Name,Tên kỹ năng
Staffing Plan Detail,Chi tiết kế hoạch nhân sự
Total Estimated Budget,Tổng ngân sách ước tính
Vacancies,Số vị trí trống
Estimated Cost Per Position,Chi phí ước tính cho mỗi vị trí
Total Estimated Cost,Tổng chi phí ước tính
Current Count,Số lượng hiện tại
Current Openings,Số vị trí đang tuyển
Number Of Positions,Số lượng vị trí
Taxable Salary Slab,Bậc lương chịu thuế
From Amount,Từ mức tiền
To Amount,Đến mức tiền
Percent Deduction,Tỷ lệ khấu trừ (%)
Training Program,Chương trình đào tạo
Event Status,Trạng thái sự kiện
Has Certificate,Có chứng chỉ
Seminar,Hội thảo
Theory,Lý thuyết
Workshop,Thực hành
Conference,Hội nghị
Exam,Kỳ thi
Internet,Trực tuyến
Self-Study,Tự học
Advance,Tạm ứng
Trainer Name,Tên giảng viên
Trainer Email,Email giảng viên
Attendees,Người tham dự
Employee Emails,Email nhân viên
Training Event Employee,Nhân viên tham gia đào tạo
Invited,Đã mời
Feedback Submitted,Đã gửi phản hồi
Training Result Employee,Kết quả đào tạo của nhân viên
Travel Itinerary,Lịch trình di chuyển
Travel From,Điểm đi
Travel To,Điểm đến
Mode of Travel,Phương thức di chuyển
Flight,Máy bay
Train,Đào tạo
Taxi,Taxi
Rented Car,Xe thuê
Meal Preference,Sở thích bữa ăn
Vegetarian,Ăn chay
Non-Vegetarian,Không ăn chay
Gluten Free,Không gluten
Non Diary,Không sữa
Travel Advance Required,Yêu cầu tạm ứng công tác phí
Departure Datetime,Thời gian khởi hành
Arrival Datetime,Thời gian đến
Lodging Required,Yêu cầu chỗ ở
Preferred Area for Lodging,Khu vực ưu tiên lưu trú
Check-in Date,Ngày nhận phòng
Check-out Date,Ngày trả phòng
Travel Request,Yêu cầu công tác
Travel Type,Loại hình công tác
Domestic,Trong nước
International,Quốc tế
Travel Funding,Nguồn tài trợ công tác
Require Full Funding,Yêu cầu tài trợ toàn bộ
Fully Sponsored,Tài trợ toàn bộ
"Partially Sponsored, Require Partial Funding","Tài trợ một phần, yêu cầu tài trợ phần còn lại"
Copy of Invitation/Announcement,Bản sao thư mời/thông báo
"Details of Sponsor (Name, Location)","Chi tiết nhà tài trợ (tên, địa điểm)"
Identification Document Number,Số giấy tờ định danh
Any other details,Thông tin khác
Costing Details,Chi tiết chi phí
Event Details,Chi tiết sự kiện
Name of Organizer,Tên đơn vị tổ chức
Address of Organizer,Địa chỉ đơn vị tổ chức
Travel Request Costing,Chi phí yêu cầu công tác
Expense Type,Loại chi phí
Sponsored Amount,Số tiền được tài trợ
Funded Amount,Số tiền được cấp
Upload Attendance,Tải lên chấm công
Attendance From Date,Chấm công từ ngày
Attendance To Date,Chấm công đến ngày
Get Template,Lấy mẫu
Import Attendance,Nhập chấm công
Upload HTML,Tải lên HTML
HR-VLOG-.YYYY.-,HR-VLOG-.YYYY.-
Odometer Reading,Chỉ số công tơ mét
Current Odometer value ,Giá trị công tơ mét hiện tại
Refuelling Details,Chi tiết đổ nhiên liệu
Invoice Ref,Tham chiếu hóa đơn
Service Details,Chi tiết dịch vụ
Vehicle Service,Dịch vụ xe
Service Item,Hạng mục dịch vụ
Brake Oil,Dầu phanh
Brake Pad,Má phanh
Clutch Plate,Lá côn
Engine Oil,Dầu động cơ
Oil Change,Thay dầu
Inspection,Kiểm tra
Mileage,Số km đã chạy
Salary Slip Loan,Vay theo phiếu lương
Loan Repayment Entry,Bút toán hoàn trả khoản vay
May,Tháng Năm
June,Tháng Sáu
July,Tháng Bảy
Bank Remittance,Chuyển khoản ngân hàng
Daily Work Summary Replies,Phản hồi báo cáo công việc hằng ngày
Employee Advance Summary,Tổng hợp tạm ứng nhân viên
Employees working on a holiday,Nhân viên làm việc vào ngày lễ
Monthly Attendance Sheet,Bảng chấm công tháng
Salary Register,Sổ lương
Unpaid Expense Claim,Yêu cầu hoàn chi phí chưa thanh toán
Payment Account is mandatory,Tài khoản thanh toán là bắt buộc
"If checked, the full amount will be deducted from taxable income before calculating income tax without any declaration or proof submission.","Nếu chọn, toàn bộ số tiền sẽ được khấu trừ khỏi thu nhập chịu thuế trước khi tính thuế thu nhập mà không cần khai báo hay nộp minh chứng."
In Time,Giờ vào
Out Time,Giờ ra
Is Recurring,Là định kỳ
HRA Exemption,Miễn trừ HRA
Monthly House Rent,Tiền thuê nhà hằng tháng
Rented in Metro City,Thuê nhà tại thành phố lớn
HRA as per Salary Structure,HRA theo cấu trúc lương
Annual HRA Exemption,Miễn trừ HRA hằng năm
Monthly HRA Exemption,Miễn trừ HRA hằng tháng
House Rent Payment Amount,Số tiền thanh toán thuê nhà
Rented From Date,Thuê từ ngày
Rented To Date,Thuê đến ngày
Monthly Eligible Amount,Số tiền đủ điều kiện hằng tháng
Total Eligible HRA Exemption,Tổng số tiền miễn trừ HRA đủ điều kiện
Validating Employee Attendance...,Đang xác thực chấm công nhân viên...
Submitting Salary Slips and creating Journal Entry...,Đang gửi phiếu lương và tạo bút toán kế toán...
Calculate Payroll Working Days Based On,Tính số ngày làm việc bảng lương dựa trên
Consider Unmarked Attendance As,Xem chấm công chưa đánh dấu là
Fraction of Daily Salary for Half Day,Tỷ lệ lương ngày cho nửa ngày
Component Type,Loại thành phần
Provident Fund,Quỹ bảo hiểm xã hội
Additional Provident Fund,Quỹ bảo hiểm xã hội bổ sung
Provident Fund Loan,Khoản vay quỹ bảo hiểm xã hội
Professional Tax,Thuế nghề nghiệp
Is Income Tax Component,Là thành phần thuế thu nhập
Component properties and references ,Thuộc tính và tham chiếu của thành phần
Additional Salary ,Lương bổ sung
Unmarked days,Ngày chưa đánh dấu
Absent Days,Số ngày vắng mặt
Conditions and Formula variable and example,Điều kiện và biến công thức kèm ví dụ
Income Tax Deductions,Khấu trừ thuế thu nhập
Income Tax Component,Thành phần thuế thu nhập
Income Tax Amount,Số tiền thuế thu nhập
Jan,Tháng Một
Feb,Tháng Hai
Mar,Tháng Ba
Apr,Tháng Tư
Aug,Tháng Tám
Sep,Tháng Chín
Oct,Tháng Mười
Nov,Tháng Mười Một
Dec,Tháng Mười Hai
Summarized View,Chế độ xem tổng hợp
Professional Tax Deductions,Khấu trừ thuế nghề nghiệp
Provident Fund Deductions,Khấu trừ quỹ bảo hiểm xã hội
Recruitment Analytics,Phân tích tuyển dụng
Applicant name,Tên ứng viên
Job Offer status,Trạng thái thư mời nhận việc
On Date,Vào ngày
Salary Payments Based On Payment Mode,Thanh toán lương theo phương thức thanh toán
Salary Payments via ECS,Thanh toán lương qua ECS
Account No,Số tài khoản
IFSC,IFSC
MICR,MICR
PF Account,Tài khoản PF
PF Amount,Số tiền PF
Additional PF,PF bổ sung
PF Loan,Khoản vay PF
Duplicate Entry,Bản ghi trùng lặp
Please select Employee first.,Vui lòng chọn Nhân viên trước.
To Date should be greater than From Date,Ngày đến phải lớn hơn ngày đi.
Job Offer: {0} is already for Job Applicant: {1},Thư mời nhận việc: {0} đã tồn tại cho ứng viên: {1}
Only Shift Request with status 'Approved' and 'Rejected' can be submitted,Chỉ yêu cầu ca có trạng thái “Đã phê duyệt” và “Đã từ chối” mới có thể gửi
Shift Assignment: {0} created for Employee: {1},Phân công ca: {0} đã được tạo cho nhân viên: {1}
You can not request for your Default Shift: {0},Bạn không thể yêu cầu ca mặc định của mình: {0}
Only Approvers can Approve this Request.,Chỉ người phê duyệt mới có thể phê duyệt yêu cầu này.
Please set Payroll based on in Payroll settings,Vui lòng thiết lập bảng lương trong Cài đặt bảng lương
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},Lương bổ sung: {0} đã tồn tại cho thành phần lương: {1} trong giai đoạn {2} và {3}
Payroll date can not be less than employee's joining date.,Ngày bảng lương không được sớm hơn ngày vào làm của nhân viên.
From date can not be less than employee's joining date.,Ngày bắt đầu không được sớm hơn ngày vào làm của nhân viên.
To date can not be greater than employee's relieving date.,Ngày kết thúc không được muộn hơn ngày nghỉ việc của nhân viên.
Payroll date can not be greater than employee's relieving date.,Ngày bảng lương không được muộn hơn ngày nghỉ việc của nhân viên.
Condition and formula,Điều kiện và công thức
Available Leaves,Ngày nghỉ còn lại
IFSC Code,Mã IFSC
Others,Khác
Total Allocated Leaves,Tổng số ngày nghỉ được phân bổ
Used Leaves,Ngày nghỉ đã sử dụng
PAN Number,Số PAN
Expired Leaves,Ngày nghỉ đã hết hạn
Attendance report,Báo cáo chấm công
Half Day/Other Half Absent,Nửa ngày/Phần còn lại vắng mặt
Half Day/Other Half Present,Nửa ngày/Phần còn lại có mặt
Shift & Attendance,Ca làm việc & Chấm công
Working Hours By,Giờ làm theo
Total Working Hours,Tổng giờ làm
Total (Month),Tổng tháng
Week,Tuần
Working Hours,Giờ làm
Standard Hours,Định mức (giờ)
Variance,Chênh lệch
Total Working Hours (This Month),Tổng giờ làm (tháng này)
Average Working Hours per Employee,Giờ làm TB mỗi nhân sự
Employees Under Target,Số nhân sự thiếu giờ
Working Hours by Week,Giờ làm theo tuần
Working Hours by Department,Giờ làm theo phòng ban
Monthly Attendance Sheet,Bảng Công Tháng
Monthly Attendance Sheet Detail,Chi tiết Bảng Công Tháng
Business Trip,Công Tác
Business Trip Traveler,Người đi công tác
Monthly Attendance Report,Bảng chấm công tháng
